"reportId","reportTitleArabic","reportTitleEnglish","reportDate","reportTimestamp","Settler attacks","Military checkpoints","Closures","Temporary checkpoints","Road closures","Arrests","Israeli live ammunition","Closure of entrances and crossings","Invasions","Airstrikes","Injuries","Destruction of property","Confiscation of property","Assaults on medical personnel","Assault on places of worship","Assaults on education sector","Closing","Harassment of security services","Land confiscation","Deportation","Assault","Establish military sites","detention","Palestinian live ammunition","Assaults on places of worship"
"65b991c19b902a30cbd96bb8","التقارير اليومية كانون الثاني 30 2024","Daily reports January 30, 2024","2024-01-30T00:00:00.000Z","2024-01-31 00:18:07","1","29","1","21","0","24","11","5","27","1","251","2","0","1","1","0","0","0","0","0","0","0","0","1","0"
"65b840327e9660923e8fd3a6","التقارير اليومية كانون الثاني 29 2024","Daily reports January 29, 2024","2024-01-29T00:00:00.000Z","2024-01-30 00:17:50","2","29","1","15","0","43","11","5","39","1","305","0","4","2","1","0","0","0","1","0","0","0","0","1","0"
"65b6eec6c2703c12003e56f0","التقارير اليومية كانون الثاني 28 2024","Daily reports January 28, 2024","2024-01-28T00:00:00.000Z","2024-01-29 00:18:11","2","29","1","20","0","21","8","5","33","1","292","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"65b59da2ed6da8a9ce763e0b","التقارير اليومية كانون الثاني 27 2024","January 27, 2024","2024-01-27T00:00:00.000Z","2024-01-28 00:19:44","2","29","1","9","0","8","12","5","28","1","312","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"65b44b831ff7eb06e8dd73e7","التقارير اليومية كانون الثاني 26 2024","Daily reports January 26, 2024","2024-01-26T00:00:00.000Z","2024-01-27 00:17:04","4","30","1","17","0","20","9","5","52","1","378","1","2","0","1","0","0","1","0","0","0","0","0","1","0"
"65c39308b3f5d1a8b3fe560f","التقارير اليومية كانون الثاني 25 2024","Reports January 25 2024","2024-01-25T00:00:00.000Z","2024-02-07 16:10:07",1,31,1,16,"0",33,9,5,74,1,374,"0","0","0","0","0","0","0","0","0","0","0","0",1,1
"65b1a919b8afaa31d9ebff95","التقارير اليومية كانون الثاني 24 2024","January 24, 2024 daily reports","2024-01-24T00:00:00.000Z","2024-01-25 00:19:33","5","32","1","24","1","37","8","5","30","1","391","1","6","0","1","0","0","0","1","0","0","0","0","1","0"
"65b0579f1522fffdd711cb79","التقارير اليومية كانون الثاني 23 2024","Daily reports January 23, 2024","2024-01-23T00:00:00.000Z","2024-01-24 00:19:40","8","31","1","19","1","42","11","5","52","1","361","0","1","0","1","0","0","0","0","0","0","0","0","1","0"
"65af0618d5ca60716bf7993a","التقارير اليومية كانون الثاني 22 2024","Daily reports January 22, 2024","2024-01-22T00:00:00.000Z","2024-01-23 00:19:32","6","31","1","24","1","26","15","5","47","1","345","0","2","0","1","1","0","0","0","0","0","0","0","1","0"
"65adb4d18e0de2aa8c1dcb2f","التقارير اليومية كانون الثاني 21 2024","Daily Reports January 21, 2024","2024-01-21T00:00:00.000Z","2024-01-22 00:20:30","8","31","1","21","2","23","8","5","37","1","294","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"65ac635a9e67154ab9d38d42","التقارير اليومية كانون الثاني 20 2024","January 20, 2024 daily reports","2024-01-20T00:00:00.000Z","2024-01-21 00:20:41","4","30","1","15","1","17","10","5","49","1","284","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"65c38a7d41a7cd01ab64bfbc","التقارير اليومية كانون الثاني 19 2024","Reports January 19 2024","2024-01-19T00:00:00.000Z","2024-02-07 15:44:03",2,30,1,23,"0",26,8,5,56,1,285,7,"0","0","0","0","0","0","0","0","0","0","0",1,1
"65a9c00b7fdd097b4fd3168f","التقارير اليومية كانون الثاني 18 2024","Daily reports January 18, 2024","2024-01-18T00:00:00.000Z","2024-01-19 00:19:21","6","30","1","18","0","106","6","5","65","2","343","4","0","4","1","0","0","0","0","0","0","0","0","1","0"
"65a86e6ac028bc7a47bcb8a5","التقارير اليومية كانون الثاني 17 2024","Daily Reports January 17, 2024","2024-01-17T00:00:00.000Z","2024-01-18 00:18:47","2","30","1","21","0","54","10","5","43","2","351","7","2","2","1","2","0","0","0","0","0","0","0","1","0"
"65a71cf4ef9ae0b6e761b401","التقارير اليومية كانون الثاني 16 2024","January 16, 2024 daily reports","2024-01-16T00:00:00.000Z","2024-01-17 00:18:58","8","30","1","17","0","47","15","5","37","1","341","1","0","0","1","0","0","0","0","0","0","0","0","1","0"
"65a5cb7bf48f71228db445c8","التقارير اليومية كانون الثاني 15 2024","January 15, 2024 daily reports","2024-01-15T00:00:00.000Z","2024-01-16 00:19:03","1","30","1","12","0","68","11","5","29","1","256","0","4","0","1","2","0","0","0","1","0","0","0","1","0"
"65a3fcb9ffb1f04965d7c74e","التقارير اليومية كانون الثاني 14 2024","Daily reports January 14, 2024","2024-01-14T00:00:00.000Z","2024-01-14 17:24:41","1","30","1","17","0","39","13","5","37","1","282","2","0","0","0","0","0","0","0","0","0","0","0","1","0"
"65a328e21ff57d4bfbbed886","التقارير اليومية كانون الثاني 13 2024","Daily Reports January 13, 2024","2024-01-13T00:00:00.000Z","2024-01-14 00:20:47","3","29","1","16","2","14","8","5","38","1","315","0","1","0","1","0","0","0","0","0","0","0","0","1","0"
"65a1d6ed47146ad6bdcdf4a5","التقارير اليومية كانون الثاني 12 2024","January 12, 2024 daily reports","2024-01-12T00:00:00.000Z","2024-01-13 00:18:49","2","29","1","14","1","12","8","5","42","1","254","4","1","0","1","0","0","0","0","0","0","0","0","1","0"
"65a085bde11cf38c4ded516a","التقارير اليومية كانون الثاني 11 2024","January 11, 2024 daily reports","2024-01-11T00:00:00.000Z","2024-01-12 00:20:09","5","29","1","23","0","31","10","5","74","1","198","3","0","0","1","0","0","0","0","0","0","0","0","1","0"
"659f3407caa088778325dab3","التقارير اليومية كانون الثاني 10 2024","January 10, 2024","2024-01-10T00:00:00.000Z","2024-01-11 00:19:16","6","29","1","21","4","34","11","5","48","1","261","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"659de283bdf0a8812b438106","التقارير اليومية كانون الثاني 09 2024","Daily reports January 09 2024","2024-01-09T00:00:00.000Z","2024-01-10 00:19:11","3","28","1","19","4","30","7","5","63","2","254","13","1","0","1","0","0","0","0","0","0","0","0","1","0"
"659c9108bf7e135b9f9e190b","التقارير اليومية كانون الثاني 08 2024","Daily reports January 08, 2024","2024-01-08T00:00:00.000Z","2024-01-09 00:19:18","3","28","1","19","11","45","8","5","35","1","519","0","2","0","1","0","0","0","0","0","0","0","0","1","0"
"659b3fc5eb89d3f08962c683","التقارير اليومية كانون الثاني 07 2024","Daily reports January 07 2024","2024-01-07T00:00:00.000Z","2024-01-08 00:20:16","3","29","1","24","6","20","9","5","38","2","261","1","2","0","0","0","0","0","0","0","0","0","0","1","0"
"6599ee7b9a3cd0fa07d3e866","التقارير اليومية كانون الثاني 06 2024","Daily reports January 06 2024","2024-01-06T00:00:00.000Z","2024-01-07 00:21:12","3","29","1","24","1","29","14","5","52","1","263","0","5","0","1","0","0","0","0","0","0","0","0","1","0"
"65989c5c5ca97eba120b5052","التقارير اليومية كانون الثاني 05 2024","Daily reports January 05 2024","2024-01-05T00:00:00.000Z","2024-01-06 00:18:33","5","28","1","17","3","31","10","5","58","1","312","1","1","0","1","0","0","0","0","0","0","0","0","1","0"
"65974ad6f5a01dbfccdd86cc","التقارير اليومية كانون الثاني 04 2024","Daily reports January 04 2024","2024-01-04T00:00:00.000Z","2024-01-05 00:18:28","1","28","1","21","2","68","11","5","56","2","329","6","4","0","1","2","0","0","0","0","0","0","0","1","0"
"6595f95dc922008c3110c2c0","التقارير اليومية كانون الثاني 03 2024","Daily reports January 03 2024","2024-01-03T00:00:00.000Z","2024-01-04 00:18:34","1","28","1","20","0","38","9","5","26","1","261","0","0","2","1","0","0","0","0","0","0","0","0","1","0"
"6594a7d904b53a2a9d497d10","التقارير اليومية كانون الثاني 02 2024","Daily reports January 02 2024","2024-01-02T00:00:00.000Z","2024-01-03 00:18:31","1","28","1","17","1","37","12","5","30","1","339","9","2","0","1","0","0","0","0","0","0","0","0","1","0"
"65935677ee5899c168dd8023","التقارير اليومية كانون الثاني 01 2024","Daily reports January 01 2024","2024-01-01T00:00:00.000Z","2024-01-02 00:19:00","1","28","1","17","0","27","9","5","30","1","254","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"6592057a2db8c9665b573526","التقارير اليومية كانون الأول 31 2023","Daily reports December 31, 2023","2023-12-31T00:00:00.000Z","2024-01-01 00:21:12","1","28","1","19","0","27","10","5","41","2","290","3","0","0","0","0","0","0","0","0","0","0","0","1","0"
"6590b3e5fb4351c51683388c","التقارير اليومية كانون الأول 30 2023","Daily Reports December 30, 2023","2023-12-30T00:00:00.000Z","2023-12-31 00:20:51","2","28","1","17","0","26","17","5","53","1","262","0","2","0","1","0","0","0","0","0","0","0","0","1","0"
"658f61b596555275155954fc","التقارير اليومية كانون الأول 29 2023","Daily reports December 29, 2023","2023-12-29T00:00:00.000Z","2023-12-30 00:17:55","2","28","1","24","0","57","10","5","75","1","318","2","3","0","1","0","0","0","0","0","0","0","0","0","0"
"658e0fc4805ffc1cce5a20f7","التقارير اليومية كانون الأول 28 2023","Daily reports December 28, 2023","2023-12-28T00:00:00.000Z","2023-12-29 00:16:00","6","28","1","22","0","66","12","5","85","2","387","0","9","0","1","0","0","0","0","0","0","0","0","1","0"
"658cbeceb4ea6adb6250ed42","التقارير اليومية كانون الأول 27 2023","Daily reports December 27, 2023","2023-12-27T00:00:00.000Z","2023-12-28 00:18:19","2","28","1","25","2","22","10","5","65","2","338","9","0","0","1","0","0","1","0","0","0","0","0","1","0"
"658b6d756887822cafd04335","التقارير اليومية كانون الأول 26 2023","Daily reports December 26, 2023","2023-12-26T00:00:00.000Z","2023-12-27 00:18:55","5","28","1","25","2","65","10","5","53","1","389","1","4","0","1","0","0","0","0","0","1","0","0","1","0"
"658a1bd785540fa5425eb738","التقارير اليومية كانون الأول 25 2023","Daily reports December 25 2023","2023-12-25T00:00:00.000Z","2023-12-26 00:18:27","3","27","1","15","0","52","14","5","37","1","507","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"6588ca931c302651c50aaac7","التقارير اليومية كانون الأول 24 2023","Daily reports December 24, 2023","2023-12-24T00:00:00.000Z","2023-12-25 00:19:30","2","27","1","17","1","14","10","5","34","1","353","10","0","0","0","0","0","0","0","0","0","0","0","1","0"
"65877940e8f8cd9240c31c61","التقارير اليومية كانون الأول 23 2023","Daily reports December 23, 2023","2023-12-23T00:00:00.000Z","2023-12-24 00:20:13","3","27","1","20","4","16","14","5","56","1","373","1","1","0","1","0","0","0","0","0","0","0","0","1","0"
"658627418c931459b9664f4a","التقارير اليومية كانون الأول 22 2023","Daily reports December 22, 2023","2023-12-22T00:00:00.000Z","2023-12-23 00:18:07","4","25","1","22","0","33","13","5","77","1","18","14","0","0","1","0","0","0","0","0","0","0","0","1","0"
"6584d5e4b547255bbb50354a","التقارير اليومية كانون الأول 21 2023","Daily reports December 21, 2023","2023-12-21T00:00:00.000Z","2023-12-22 00:18:40","4","25","1","25","0","40","11","5","94","1","12","2","3","0","1","0","0","0","0","0","0","0","0","1","0"
"658232325e3e4b926743b110","التقارير اليومية كانون الأول 19 2023","Daily reports December 19, 2023","2023-12-19T00:00:00.000Z","2023-12-20 00:15:43","5","25","1","14","1","49","15","5","41","1","310","0","2","0","1","0","0","0","0","0","0","0","0","1","0"
"6580e15e342a33c4259f2a46","التقارير اليومية كانون الأول 18 2023","Daily reports December 18, 2023","2023-12-18T00:00:00.000Z","2023-12-19 00:18:36","2","25","1","23","0","38","16","5","46","1","1 295","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"657f9020214837516223abf0","التقارير اليومية كانون الأول 17 2023","Daily reports December 17, 2023","2023-12-17T00:00:00.000Z","2023-12-18 00:19:42","2","25","1","12","1","23","13","6","33","2","9","4","2","1","0","0","0","0","0","0","0","0","0","1","0"
